年份,项目编号,基地名称(申办单位),基地负责人,联系电话,项目名称,项目负责人,联系电话,举办期限起止日期,举办地点,授予学员学分,教学对象,拟招生人数,备注
2013,J51-13-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病原微生物运输培训班,王子军,58900338,"2013-04-08-2013-04-11
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,100/期,
2013,J51-13-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,王子军,58900338,"2013-08-12-2013-08-15
		4.0天",北京,8分,相关专业的继续教育对象,85,
2013,J51-13-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国乙脑监测和实验室检测培训班,李艺星,010-83159521,"2013-06-26-2013-06-28
		3.0天",山东济南市,6分,相关专业的继续教育对象,75,
2013,J51-13-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,疫苗可预防细菌性疾病防控和实验室检测培训班,李艺星,010-83159521,"2013-08-25-2013-08-27
		3.0天",陕西西安市,6分,相关专业的继续教育对象,80,
2013,J51-13-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,2013年全国AFP监测工作培训班,温宁,010-63027946-2,"2013-06-11-2013-06-15
		5.0天",安徽合肥市,10分,相关专业的继续教育对象,75,
2013,J51-13-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊专业人员培训,吴尊友,010-58900901,"2013-06-03-2013-06-16
		13.5天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,40/期,
2013,J51-13-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊工作人员干预技能及丙肝防治培训,吴尊友,010-58900901,"2013-04-10-2013-04-12
		3.0天/期
		
		
查看多期举办时间地点",福建福州市,6分/期,相关专业的继续教育对象,60/期,
2013,J51-13-08 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,公共卫生与现场流行病学的最新知识培训班,曾光,63033030,"2013-04-23-2013-04-26
		4.0天",河南洛阳市,8分,相关专业的继续教育对象,200,
2013,J51-13-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,新发人兽共患寄生虫病诊断培训班,陈家旭,021-54561095,"2013-08-17-2013-08-20
		3.5天",陕西西安市,7分,相关专业的继续教育对象,40,
2013,J51-13-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病媒生物分类培训班（蝇类）,刘起勇,58900738,"2013-11-03-2013-11-08
		6.0天",北京,10分,相关专业的继续教育对象,80,
2013,J51-13-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第四届全国重要病媒生物抗药性监测技术培训,刘起勇,1058900738,"2013-10-21-2013-10-25
		5.0天",北京,10分,相关专业的继续教育对象,50,
2013,J51-13-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国血吸虫病诊断网络平台运行管理研讨培训班,秦志强,021-54650863,"2013-08-09-2013-08-11
		2.5天",上海,5分,相关专业的继续教育对象,40,
2013,J51-13-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国宫颈癌筛查适宜技术培训班,刘宏图,010-58900888,"2013-11-06-2013-11-08
		3.0天",北京,6分,相关专业的继续教育对象,60,
2013,J51-13-14 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国血吸虫病监测点技术培训,朱蓉,18621613886,"2013-05-03-2013-05-05
		2.5天",江西上饶市,5分,相关专业的继续教育对象,100,
2013,J51-13-15 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,么鸿雁,010-58900524,"2013-04-30-2013-05-03
		4.0天",山西太原市,8分,相关专业的继续教育对象,60,
2013,J51-13-16 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,广州管圆线虫相关媒介监测培训班,张仪,021-64665048,"2013-04-10-2013-04-12
		3.0天",海南琼海市,6分,相关专业的继续教育对象,40,
2013,J51-13-17 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,重要食源性寄生虫病诊断标准和监测培训班,陈颖丹,021-64739075,"2013-09-23-2013-09-25
		3.0天",河南郑州市,6分,相关专业的继续教育对象,50,
2014,J13-14-24 (国),中国医学科学院肿瘤医院,孙燕,010-877878817,全国肿瘤预防与控制实践培训班,乔友林,010-877878817,"2014-06-14-2014-06-17
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,30/期,
2014,J13-14-25 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,淮河流域早诊早治技术培训班,陈万青,010-87788817,"2014-07-23-2014-07-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2014,J13-14-26 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,肿瘤登记年会,陈万青,010-87788817,"2014-10-23-2014-10-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2014,J13-14-27 (国),中国医学科学院肿瘤医院,孙燕,010-87788817,肿瘤防治与简短戒烟干预培训班,邹小农,010-87788817,"2014-09-10-2014-09-12
		3.0天",北京,6分,相关专业的继续教育对象,30,
2014,J51-14-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病原微生物运输培训班,王子军,010-58900338,"2014-04-02-2014-04-05
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,100/期,
2014,J51-14-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,王子军,010-58900338,"2014-08-01-2014-08-04
		4.0天",北京,8分,相关专业的继续教育对象,120,
2014,J51-14-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,男男性行为人群艾滋病干预工作能力培训项目,徐杰,010-58900953,"2014-05-13-2014-05-16
		4.0天/期
		
		
查看多期举办时间地点",天津,8分/期,相关专业的继续教育对象,90/期,
2014,J51-14-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国传染病信息报告管理与监测资料综合分析技术培训,马家奇,58900422,"2014-04-15-2014-04-18
		4.0天",江苏苏州市,8分,相关专业的继续教育对象,100,
2014,J51-14-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,现场流行病学调查与中国公共卫生,曾光,63033030,"2014-10-21-2014-10-24
		4.0天",湖南,8分,相关专业的继续教育对象,200,
2014,J51-14-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,禽流感病毒血清学检测技术培训班,舒跃龙,1058900850,"2014-05-26-2014-05-29
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,30/期,
2014,J51-14-07 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,么鸿雁,010-58900522,"2014-05-27-2014-05-30
		4.0天",天津,8分,相关专业的继续教育对象,35,
2014,J51-14-08 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,美沙酮门诊专业人员培训,吴尊友,010-58900901,"2014-08-01-2014-08-14
		13.5天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,40/期,
2014,J51-14-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊工作人员综合干预技能培训,吴尊友,010-58900901,"2014-03-10-2014-03-12
		3.0天/期
		
		
查看多期举办时间地点",福建福州市,6分/期,相关专业的继续教育对象,60/期,
2014,J51-14-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,新发人兽共患寄生虫病诊断培训班（Ⅱ期）,陈家旭,021-54655787,"2014-07-11-2014-07-13
		3.0天/期
		
		
查看多期举办时间地点",福建南平市,6分/期,相关专业的继续教育对象,40/期,
2014,J51-14-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,血吸虫病传播风险监测应对方法与检测技术培训班,秦志强,021-54650863,"2014-05-10-2014-05-12
		3.0天",安徽贵池市,6分,相关专业的继续教育对象,48,
2014,J51-14-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,寄生虫镜检技能培训班,陈颖丹,021-64739075,"2014-05-22-2014-05-26
		5.0天",河南郑州市,10分,相关专业的继续教育对象,60,
2014,J51-14-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,空间流行病学理论与应用培训班,周晓农,021-64738058,"2014-02-11-2014-02-16
		6.0天",上海,10分,相关专业的继续教育对象,30,
2014,J51-14-14 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,医学贝类现场调查培训班,张仪,021-64665048,"2014-05-12-2014-05-16
		5.0天",江西南昌市,10分,相关专业的继续教育对象,40,
2014,J51-14-15 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第三次全国人体重要寄生虫病现状调查方案及实施细则培训班,陈颖丹,021-64739075,"2014-04-07-2014-04-09
		3.0天",上海,6分,相关专业的继续教育对象,62,
2014,J51-14-16 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900341,登革热媒介生物监测与管理培训,刘起勇,010-58900738,"2014-05-19-2014-05-23
		5.0天/期
		
		
查看多期举办时间地点",北京,10分/期,相关专业的继续教育对象,30/期,
2014,J51-14-17 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900341,第五届媒介生物可持续控制国际论坛,刘起勇,010-58900738,"2014-11-03-2014-11-06
		4.0天",山东青岛市,8分,相关专业的继续教育对象,150,
2014,J51-14-21 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国乙脑、流脑、百日咳等疾病监测工作研讨会培训班,李艺星,010-83159521,"2014-05-14-2014-05-15
		2.0天",河南郑州市,4分,相关专业的继续教育对象,85,
2014,J51-14-22 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,艾滋病宣传教育与防治信息共享研讨班,王璐,010-58900925,"2014-04-22-2014-04-24
		3.0天",北京,6分,相关专业的继续教育对象,35,
2014,J51-14-23 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,艾滋病健康传播与媒体沟通能力建设研讨班,王璐,010-58900925,"2014-05-16-2014-05-17
		2.0天",北京,4分,相关专业的继续教育对象,35,
2015,J1-15-04 (国),北京大学口腔医学院口腔颌面外科,俞光岩,010-62179977-5295,口腔专科医院医院感染预防与控制培训班,张伟,62167128,"2015-06-09-2015-06-11
		3.0天",北京,6分,相关专业的继续教育对象,100,
2015,J13-15-17 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤实验室检测研究新进展学习班,齐军,87788448,"2015-07-10-2015-07-12
		3.0天",北京,6分,相关专业的继续教育对象,100,
2015,J13-15-18 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤防治与烟草使用干预培训班,邹小农,87788656,"2015-09-10-2015-09-12
		3.0天",北京,6分,相关专业的继续教育对象,30,
2015,J13-15-23 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,肿瘤登记推进会暨技术培训会,陈万青,87787039,"2015-10-23-2015-10-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2015,J13-15-25 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,淮河流域早诊早治技术培训,陈万青,87787039,"2015-07-23-2015-07-25
		3.0天",北京,6分,相关专业的继续教育对象,150,
2015,J13-15-40 (国),中国医学科学院肿瘤医院,孙燕,010-87787409,全国肿瘤预防与控制实践培训,乔友林,15811140261,"2015-06-14-2015-06-18
		5.0天",北京,10分,相关专业的继续教育对象,30,
2015,J51-15-01 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流感与禽流感监测资料分析利用能力培训,舒跃龙,010-58900850,"2015-07-18-2015-07-19
		2.0天",黑龙江哈尔滨市,4分,相关专业的继续教育对象,200,
2015,J51-15-02 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国人体重点寄生虫病调查数据录入培训班,陈颖丹,021-64739075,"2015-05-12-2015-05-13
		2.0天",河南郑州市,4分,相关专业的继续教育对象,60,
2015,J51-15-03 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊专业人员培训,曹晓斌,010-58900950,"2015-08-10-2015-08-19
		10.0天/期
		
		
查看多期举办时间地点",云南昆明市,10分/期,相关专业的继续教育对象,40/期,
2015,J51-15-04 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊干预技能培训,曹晓斌,010-58900950,"2015-06-16-2015-06-18
		3.0天/期
		
		
查看多期举办时间地点",江苏南京市,6分/期,相关专业的继续教育对象,40/期,
2015,J51-15-05 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-58900301,美沙酮门诊管理技能培训,曹晓斌,010-58900950,"2015-04-14-2015-04-15
		2.0天/期
		
		
查看多期举办时间地点",江西南昌市,4分/期,相关专业的继续教育对象,40/期,
2015,J51-15-06 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,流行病学应用与实践系列培训,么鸿雁,010-58900523,"2015-05-26-2015-05-29
		4.0天/期
		
		
查看多期举办时间地点",陕西西安市,8分/期,相关专业的继续教育对象,30/期,
2015,J51-15-09 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,血吸虫病诊断网络平台实验室运行及质量控制培训,许静,021-54650863,"2015-05-18-2015-05-20
		2.5天",浙江宁波市,5分,相关专业的继续教育对象,60,
2015,J51-15-10 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,第五届全国重要病媒生物抗药性监测与控制技术培训,刘起勇,1058900738,"2015-04-09-2015-04-13
		5.0天",北京,10分,相关专业的继续教育对象,80,
2015,J51-15-11 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,艾滋病宣传教育内容、形式与效果评价研讨班,王璐,010-58900275,"2015-04-22-2015-04-24
		3.0天",北京,6分,相关专业的继续教育对象,35,
2015,J51-15-12 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国乙脑、流脑、百日咳等疾病监测工作研讨会培训班,李艺星,010-83159521,"2015-06-11-2015-06-12
		2.0天",宁夏银川市,4分,相关专业的继续教育对象,150,
2015,J51-15-13 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国疾控系统病原微生物运输培训班,王子军,010-58900338,"2015-04-01-2015-04-04
		4.0天/期
		
		
查看多期举办时间地点",北京,8分/期,相关专业的继续教育对象,100/期,
2015,J51-15-14 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,全国病原微生物实验室生物安全培训班,王子军,010-58900338,"2015-08-01-2015-08-04
		4.0天",北京,8分,相关专业的继续教育对象,120,
2015,J51-15-15 (国),中国疾病预防控制中心（传染病预防控制）,王宇,010-67779152,艾滋病经性传播干预能力培训,徐杰,010-58900953,"2015-05-19-2015-05-22
		4.0天/期
		
		
查看多期举办时间地点",天津,8分/期,相关专业的继续教育对象,65/期,
